
CO2 (ppm),Temperature (*C),Humidity (%),,Date,Time
710,33.46,55.5, ,10/12/2019, 7:08:26 PM
692,32.78,57.9, ,10/12/2019, 10:03:42 PM
679,32.77,57.4, ,10/12/2019, 10:51:32 PM
682,32.67,57.9, ,10/12/2019, 11:02:07 PM
1062,32.19,61.6, ,10/13/2019, 12:27:11 AM
1039,31.96,62.0, ,10/13/2019, 1:09:43 AM
1197,31.92,61.6, ,10/13/2019, 2:18:49 AM
1159,31.72,61.7, ,10/13/2019, 3:27:55 AM
1134,31.44,61.4, ,10/13/2019, 5:08:59 AM
1147,31.37,61.5, ,10/13/2019, 6:39:14 AM
947,32.16,61.1, ,10/13/2019, 9:13:15 AM
864,32.60,59.7, ,10/13/2019, 9:55:47 AM
981,32.92,59.1, ,10/13/2019, 10:22:20 AM
1073,33.39,59.4, ,10/13/2019, 10:48:53 AM
2132,34.39,61.7, ,10/13/2019, 11:41:56 AM
1285,34.60,62.9, ,10/13/2019, 12:24:23 PM
826,34.36,60.1, ,10/13/2019, 2:05:19 PM
815,34.40,59.4, ,10/13/2019, 2:10:38 PM
648,32.00,66.9, ,10/13/2019, 3:51:31 PM
1053,33.29,66.3, ,10/13/2019, 4:28:39 PM
763,32.85,63.6, ,10/13/2019, 5:42:58 PM
761,32.52,63.4, ,10/13/2019, 6:41:18 PM
917,33.53,62.2, ,10/13/2019, 8:59:20 PM
961,33.70,61.9, ,10/13/2019, 9:09:59 PM
1150,33.29,63.7, ,10/13/2019, 9:41:52 PM
1134,33.67,62.7, ,10/13/2019, 10:08:26 PM
961,33.43,62.1, ,10/13/2019, 10:35:00 PM
887,33.25,62.1, ,10/13/2019, 11:12:09 PM
831,33.20,62.0, ,10/13/2019, 11:59:58 PM
890,33.09,62.3, ,10/14/2019, 1:14:23 AM
779,32.89,62.1, ,10/14/2019, 2:18:06 AM
983,32.91,62.9, ,10/14/2019, 3:11:12 AM
1161,31.37,72.6, ,10/14/2019, 4:04:20 AM
1132,30.11,77.6, ,10/14/2019, 4:46:52 AM
1083,30.25,76.5, ,10/14/2019, 5:18:45 AM
1522,30.36,77.1, ,10/14/2019, 6:11:56 AM
884,31.83,69.1, ,10/14/2019, 6:54:29 AM
